City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
236,Taunggyi,20.78,97.03,60.78,100,98,1.41,overcast clouds,MM,2020-11-01 20:14:30
237,Impfondo,1.64,18.07,70.86,98,100,3.36,light rain,CG,2020-11-01 20:14:31
238,Guardiagrele,42.2,14.22,55.99,93,78,3.36,broken clouds,IT,2020-11-01 20:14:31
239,Benghazi,32.12,20.07,70.66,64,0,10.56,clear sky,LY,2020-11-01 20:14:31
240,Santa Fe,-31.63,-60.7,82.99,28,0,1.99,clear sky,AR,2020-11-01 20:14:31
241,Sayville,40.74,-73.08,55.4,87,90,6.93,moderate rain,US,2020-11-01 20:14:31
242,Deputatskiy,69.3,139.9,-14.78,88,92,6.44,overcast clouds,RU,2020-11-01 20:12:07
243,Barabai,-2.58,115.38,73.99,94,100,0.67,moderate rain,ID,2020-11-01 20:14:32
244,Sinazongwe,-17.26,27.46,80.02,46,0,5.82,clear sky,ZM,2020-11-01 20:14:32
245,Chokurdakh,70.63,147.92,0.61,94,100,10.78,light snow,RU,2020-11-01 20:12:53
246,Borogontsy,62.67,131.17,-16.51,88,1,1.03,clear sky,RU,2020-11-01 20:14:32
247,Damavand,35.72,52.06,60.8,29,51,6.93,broken clouds,IR,2020-11-01 20:14:33
248,Ust-Kuyga,70.02,135.6,-15.99,87,99,7.9,overcast clouds,RU,2020-11-01 20:12:06
249,Colesberg,-30.72,25.1,64.0,45,0,7.2,clear sky,ZA,2020-11-01 20:14:33
250,Talaya,61.38,152.75,16.93,92,100,3.87,overcast clouds,RU,2020-11-01 20:14:33
251,Tilichiki,60.47,166.1,24.89,96,36,5.48,scattered clouds,RU,2020-11-01 20:14:33
252,Yar-Sale,66.83,70.83,30.09,98,100,18.43,overcast clouds,RU,2020-11-01 20:14:34
253,Urengoy,65.97,78.37,24.44,97,91,14.7,overcast clouds,RU,2020-11-01 20:14:34
254,Georgetown,5.41,100.34,78.8,88,20,3.36,few clouds,MY,2020-11-01 20:14:34
255,Port Hedland,-20.32,118.57,73.4,83,40,6.93,scattered clouds,AU,2020-11-01 20:14:34
256,Saint-Pierre,-21.34,55.48,68.0,68,75,5.82,broken clouds,RE,2020-11-01 20:14:35
257,Vinzili,56.96,65.77,28.4,86,0,8.95,clear sky,RU,2020-11-01 20:14:35
258,Aranos,-24.13,19.12,73.63,43,46,12.48,scattered clouds,NA,2020-11-01 20:14:35
259,Petropavlovsk-Kamchatskiy,53.05,158.65,30.2,80,12,6.71,few clouds,RU,2020-11-01 20:14:35
260,Bugene,-1.59,31.14,61.47,76,83,2.42,broken clouds,TZ,2020-11-01 20:14:35
261,Chuy,-33.7,-53.46,62.82,54,0,9.28,clear sky,UY,2020-11-01 20:10:31
262,Mmathubudukwane,-24.6,26.43,60.8,100,75,13.87,thunderstorm,BW,2020-11-01 20:14:36
263,Suluq,31.67,20.25,66.92,68,0,8.25,clear sky,LY,2020-11-01 20:14:36
264,Ponta Do Sol,32.67,-17.1,69.8,83,20,4.7,few clouds,PT,2020-11-01 20:12:03
